! description at the end of the file
! don't change the number of comment lines!
! 
! n_elements
10
! LIST OF ELEMENTS
H
He
C
N
O
Mg
Si
S 
Fe
Pa
!
! (need PAHs 'Pa' as a separate element for stability issues)
!
! n_species
109
! LIST OF SPECIES
!             < Initial     amu chr H  He C  N  O  Mg Si S  Fe Pa
JC                                        C                                                                       1408  80   1.590e+27    8.000e+02    0.000e+00    0.000e+00    4.100e+04  ---------
JN                                        N                                                                       1409  80   1.590e+27    8.000e+02    0.000e+00    0.000e+00    4.100e+04  ---------
JO                                        O                                                                       1410  80   1.590e+27    8.000e+02    0.000e+00    0.000e+00    4.100e+04  ---------
JCH                                       CH                                                                      1411  80   1.590e+27    6.500e+02    0.000e+00    0.000e+00    4.100e+04  ---------
JCH2                                      CH2                                                                     1412  80   1.590e+27    9.600e+02    0.000e+00    0.000e+00    4.100e+04  ---------
JNH                                       NH                                                                      1413  80   1.590e+27    6.000e+02    0.000e+00    0.000e+00    4.100e+04  ---------
JCH3                                      CH3                                                                     1414  80   1.590e+27    1.160e+03    0.000e+00    0.000e+00    4.100e+04  ---------
JNH2                                      NH2                                                                     1415  80   1.590e+27    8.600e+02    0.000e+00    0.000e+00    4.100e+04  ---------
JCH4                                      CH4                                                                     1416  80   1.590e+27    1.080e+03    0.000e+00    0.000e+00    4.100e+04  ---------
JOH                                       OH                                                                      1417  80   1.590e+27    1.260e+03    0.000e+00    0.000e+00    4.100e+04  ---------
JNH3                                      NH3                                                                     1418  80   1.590e+27    3.080e+03    0.000e+00    0.000e+00    4.100e+04  ---------
JH2O                                      H2O                                                                     1419  80   1.000e+30    5.770e+03    0.000e+00    0.000e+00    4.100e+04  ---------
JCO                                       CO                                                                      1420  80   7.000e+26    8.550e+02    0.000e+00    0.000e+00    4.100e+04  ---------
JCO2                                      CO2                                                                     1421  80   1.590e+27    2.690e+03    0.000e+00    0.000e+00    4.100e+04  ---------
SO2+          PAH0                        PAH+          SO2                                                       1328  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3+          PAH0                        PAH+          NH3                                                       1329  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO2+          PAH0                        PAH+          CO2                                                       1330  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2CS+         PAH0                        PAH+          H2CS                                                      1331  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4+          PAH0                        PAH+          CH4                                                       1332  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            PAH0                        PAH+          O                                                         1333  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO+           PAH0                        PAH+          CO                                                        1334  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
S+            PAH0                        PAH+          S                                                         1335  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H+            PAH0                        PAH+          H                                                         1336  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
He+           PAH0                        PAH+          He                                                        1337  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
SiO+          PAH0                        PAH+          SiO                                                       1338  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Fe+           PAH0                        PAH+          Fe                                                        1339  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
C+            PAH0                        PAH+          C                                                         1340  72   3.100e-08    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
