! description at the end of the file
! don't change the number of comment lines!
! 
! n_elements
10
! LIST OF ELEMENTS
H
He
C
N
O
Mg
Si
S 
Fe
Pa
!
! (need PAHs 'Pa' as a separate element for stability issues)
!
! n_species
109
! LIST OF SPECIES
!             < Initial     amu chr H  He C  N  O  Mg Si S  Fe Pa
CH+           HCO                         HCO+          CH                                                         788  20   4.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH+           NO                          NO+           CH                                                         789  20   7.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH            O2+                         O2            CH+                                                        790  20   3.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH+           S                           S+            CH                                                         791  20   4.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH+           Fe                          Fe+           CH                                                         792  20   2.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            CH2                         CH2+          N                                                          793  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            NH                          NH+           N                                                          794  20   3.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            NH2                         NH2+          N                                                          795  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            CH4                         CH4+          N                                                          796  20   2.800e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            OH                          OH+           N                                                          797  20   3.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            NH3                         NH3+          N                                                          798  20   1.970e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            H2O                         H2O+          N                                                          799  20   2.800e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            Mg                          Mg+           N                                                          800  20   1.200e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            CN                          CN+           N                                                          801  20   1.100e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            HCN                         HCN+          N                                                          802  20   3.700e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            CO                          CO+           N                                                          803  20   8.250e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            HCO                         HCO+          N                                                          804  20   4.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            NO                          NO+           N                                                          805  20   4.510e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            O2                          O2+           N                                                          806  20   3.110e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            H2S                         H2S+          N                                                          807  20   1.060e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            CO2                         CO2+          N                                                          808  20   7.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            Fe                          Fe+           N                                                          809  20   1.500e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N+            OCS                         OCS+          N                                                          810  20   1.020e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           O+                          O             CH2+                                                       811  20   9.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           NH2+                        NH2           CH2+                                                       812  20   4.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           OH+                         OH            CH2+                                                       813  20   4.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           H2O+                        H2O           CH2+                                                       814  20   4.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           CN+                         CN            CH2+                                                       815  20   8.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           CO+                         CO            CH2+                                                       816  20   4.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2+          NO                          NO+           CH2                                                        817  20   4.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           O2+                         O2            CH2+                                                       818  20   4.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH            O+                          O             NH+                                                        819  20   3.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           NH3                         NH3+          NH                                                         820  20   1.800e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           H2O                         H2O+          NH                                                         821  20   1.050e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH            CN+                         CN            NH+                                                        822  20   6.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH            CO+                         CO            NH+                                                        823  20   3.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           NO                          NO+           NH                                                         824  20   7.120e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           O2                          O2+           NH                                                         825  20   4.510e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           S                           S+            NH                                                         826  20   6.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH3+          Mg                          Mg+           CH3                                                        827  20   3.500e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH3+          HCO                         HCO+          CH3                                                        828  20   4.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH3+          NO                          NO+           CH3                                                        829  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH3+          Fe                          Fe+           CH3                                                        830  20   2.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            NH2                         NH2+          O                                                          831  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            CH4                         CH4+          O                                                          832  20   8.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            OH                          OH+           O                                                          833  20   3.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            NH3                         NH3+          O                                                          834  20   1.200e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            H2O                         H2O+          O                                                          835  20   3.200e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             CN+                         CN            O+                                                         836  20   6.500e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             CO+                         CO            O+                                                         837  20   1.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            CO                          CO+           O                                                          838  20   4.900e-12    5.000e-01    4.580e+03    0.000e+00    1.000e+04  ---------
O+            HCO                         HCO+          O                                                          839  20   4.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            O2                          O2+           O                                                          840  20   1.900e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            H2S                         H2S+          O                                                          841  20   1.360e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             CO2+                        CO2           O+                                                         842  20   9.620e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            Fe                          Fe+           O                                                          843  20   2.900e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            OCS                         OCS+          O                                                          844  20   6.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            SO2                         SO2+          O                                                          845  20   2.040e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2           OH+                         OH            NH2+                                                       846  20   5.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2+          NH3                         NH3+          NH2                                                        847  20   6.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2           H2O+                        H2O           NH2+                                                       848  20   4.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2           CN+                         CN            NH2+                                                       849  20   9.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2           CO+                         CO            NH2+                                                       850  20   4.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2+          HCO                         HCO+          NH2                                                        851  20   4.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2+          NO                          NO+           NH2                                                        852  20   7.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2           O2+                         O2            NH2+                                                       853  20   8.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2+          S                           S+            NH2                                                        854  20   4.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2+          H2S                         H2S+          NH2                                                        855  20   7.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4+          NH3                         NH3+          CH4                                                        856  20   1.650e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4           CO+                         CO            CH4+                                                       857  20   7.930e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4+          O2                          O2+           CH4                                                        858  20   3.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4+          H2S                         H2S+          CH4                                                        859  20   9.450e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4           CO2+                        CO2           CH4+                                                       860  20   5.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4+          OCS                         OCS+          CH4                                                        861  20   4.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           NH3                         NH3+          OH                                                         862  20   1.200e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           H2O                         H2O+          OH                                                         863  20   1.590e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH            CN+                         CN            OH+                                                        864  20   6.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH            CO+                         CO            OH+                                                        865  20   3.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           HCO                         HCO+          OH                                                         866  20   2.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           NO                          NO+           OH                                                         867  20   3.590e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           O2                          O2+           OH                                                         868  20   5.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           S                           S+            OH                                                         869  20   4.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           H2S                         H2S+          OH                                                         870  20   1.230e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3           H2O+                        H2O           NH3+                                                       871  20   2.210e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3+          Mg                          Mg+           NH3                                                        872  20   3.300e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3           HCN+                        HCN           NH3+                                                       873  20   1.680e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3           CO+                         CO            NH3+                                                       874  20   2.020e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3+          Si                          Si+           NH3                                                        875  20   1.900e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3+          HCO                         HCO+          NH3                                                        876  20   4.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3+          NO                          NO+           NH3                                                        877  20   7.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3           O2+                         O2            NH3+                                                       878  20   2.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3           S+                          S             NH3+                                                       879  20   1.440e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3           HS+                         HS            NH3+                                                       880  20   5.250e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3           H2S+                        H2S           NH3+                                                       881  20   3.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3           CO2+                        CO2           NH3+                                                       882  20   1.900e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3           SO+                         SO            NH3+                                                       883  20   1.300e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3+          Fe                          Fe+           NH3                                                        884  20   2.300e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3           OCS+                        NH3+          OCS                                                        885  20   2.300e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          Mg                          Mg+           H2O                                                        886  20   2.200e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O           HCN+                        HCN           H2O+                                                       887  20   1.800e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O           CO+                         CO            H2O+                                                       888  20   1.720e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          Si                          Si+           H2O                                                        889  20   3.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          HCO                         HCO+          H2O                                                        890  20   2.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          NO                          NO+           H2O                                                        891  20   2.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          O2                          O2+           H2O                                                        892  20   4.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          S                           S+            H2O                                                        893  20   4.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          H2S                         H2S+          H2O                                                        894  20   9.720e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O           CO2+                        CO2           H2O+                                                       895  20   2.040e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          Fe                          Fe+           H2O                                                        896  20   1.500e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          OCS                         OCS+          H2O                                                        897  20   2.500e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Mg            Si+                         Si            Mg+                                                        898  20   2.900e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Mg            HCO+                        HCO           Mg+                                                        899  20   2.900e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Mg            NO+                         NO            Mg+                                                        900  20   8.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Mg            O2+                         O2            Mg+                                                        901  20   1.200e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Mg            S+                          S             Mg+                                                        902  20   2.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Mg            HS+                         HS            Mg+                                                        903  20   2.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Mg            H2S+                        H2S           Mg+                                                        904  20   2.800e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Mg            CS+                         CS            Mg+                                                        905  20   2.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Mg            SiO+                        SiO           Mg+                                                        906  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    3.000e+02  ---------
Mg            SO+                         SO            Mg+                                                        907  20   1.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CN+           HCN                         HCN+          CN                                                         908  20   1.790e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CN+           CO                          CO+           CN                                                         909  20   6.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CN+           HCO                         HCO+          CN                                                         910  20   3.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CN+           NO                          NO+           CN                                                         911  20   5.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CN+           O2                          O2+           CN                                                         912  20   2.580e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CN+           S                           S+            CN                                                         913  20   1.100e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CN+           CO2                         CO2+          CN                                                         914  20   3.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCN           CO+                         CO            HCN+                                                       915  20   3.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCN+          NO                          NO+           HCN                                                        916  20   8.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCN+          O2                          O2+           HCN                                                        917  20   3.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCN+          S                           S+            HCN                                                        918  20   5.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO+           HCO                         HCO+          CO                                                         919  20   7.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO+           NO                          NO+           CO                                                         920  20   3.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO+           O2                          O2+           CO                                                         921  20   1.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO+           S                           S+            CO                                                         922  20   1.100e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO+           H2S                         H2S+          CO                                                         923  20   2.440e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO+           CO2                         CO2+          CO                                                         924  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Si            NO+                         NO            Si+                                                        925  20   1.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Si            O2+                         O2            Si+                                                        926  20   1.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Si            S+                          S             Si+                                                        927  20   1.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Si            HS+                         HS            Si+                                                        928  20   1.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Si            H2S+                        H2S           Si+                                                        929  20   1.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Si            CS+                         CS            Si+                                                        930  20   1.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Si+           Fe                          Fe+           Si                                                         931  20   1.900e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCO           O2+                         O2            HCO+                                                       932  20   3.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCO           S+                          S             HCO+                                                       933  20   3.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCO           H2S+                        H2S           HCO+                                                       934  20   7.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCO           SiO+                        SiO           HCO+                                                       935  20   6.600e-10    0.000e+00    0.000e+00    0.000e+00    3.000e+02  ---------
HCO+          Fe                          Fe+           HCO                                                        936  20   1.900e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
SiH           S+                          S             SiH+                                                       937  20   4.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NO            O2+                         O2            NO+                                                        938  20   4.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NO            S+                          S             NO+                                                        939  20   3.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NO            HS+                         HS            NO+                                                        940  20   4.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NO            H2S+                        H2S           NO+                                                        941  20   3.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NO            CO2+                        CO2           NO+                                                        942  20   1.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NO            SiO+                        SiO           NO+                                                        943  20   7.200e-10    0.000e+00    0.000e+00    0.000e+00    3.000e+02  ---------
NO+           Fe                          Fe+           NO                                                         944  20   9.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O2+           S                           S+            O2                                                         945  20   5.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O2+           H2S                         H2S+          O2                                                         946  20   1.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O2            CO2+                        CO2           O2+                                                        947  20   5.300e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O2+           Fe                          Fe+           O2                                                         948  20   1.100e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O2            SO2+                        SO2           O2+                                                        949  20   2.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
S             HS+                         HS            S+                                                         950  20   9.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
S             H2S+                        H2S           S+                                                         951  20   1.100e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
S+            Fe                          Fe+           S                                                          952  20   1.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HS+           Fe                          Fe+           HS                                                         953  20   1.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2S           CO2+                        CO2           H2S+                                                       954  20   1.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2S+          Fe                          Fe+           H2S                                                        955  20   1.800e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2S           OCS+                        H2S+          OCS                                                        956  20   1.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO2+          OCS                         OCS+          CO2                                                        957  20   9.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO2+          SO2                         SO2+          CO2                                                        958  20   1.500e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CS+           Fe                          Fe+           CS                                                         959  20   1.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
SiO+          Fe                          Fe+           SiO                                                        960  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
SO+           Fe                          Fe+           SO                                                         961  20   1.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H+            H-                          H             H                                                          962  20   2.300e-07   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
H-            H2+                         H2            H                                                          963  20   2.300e-07   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
H-            He+                         He            H                                                          964  20   2.300e-07   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
H-            C+                          C             H                                                          965  20   2.300e-07   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
H-            N+                          N             H                                                          966  20   2.300e-07   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
H-            O+                          O             H                                                          967  20   2.300e-07   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
H-            Mg+                         Mg            H                                                          968  20   2.300e-07   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
H-            Si+                         Si            H                                                          969  20   2.300e-07   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
H-            S+                          S             H                                                          970  20   2.300e-07   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
H-            Fe+                         Fe            H                                                          971  20   2.300e-07   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
H2+           e-                          H             H                                                          972  20   1.600e-08   -4.300e-01    0.000e+00    0.000e+00    3.000e+02  ---------
H3+           e-                          H             H             H                                            973  20   4.360e-08   -5.200e-01    0.000e+00    0.000e+00    1.000e+03  ---------
H3+           e-                          H2            H                                                          974  20   2.340e-08   -5.200e-01    0.000e+00    0.000e+00    1.000e+03  ---------
CH+           e-                          C             H                                                          975  20   1.500e-07   -4.200e-01    0.000e+00    0.000e+00    3.000e+02  ---------
CH2+          e-                          CH            H                                                          976  20   1.600e-07   -6.000e-01    0.000e+00    0.000e+00    1.000e+03  ---------
CH2+          e-                          C             H             H                                            977  20   4.030e-07   -6.000e-01    0.000e+00    0.000e+00    1.000e+03  ---------
CH2+          e-                          C             H2                                                         978  20   7.680e-08   -6.000e-01    0.000e+00    0.000e+00    1.000e+03  ---------
NH+           e-                          N             H                                                          979  20   4.300e-08   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
CH3+          e-                          CH2           H                                                          980  20   7.750e-08   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
CH3+          e-                          CH            H2                                                         981  20   1.950e-07   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
CH3+          e-                          CH            H             H                                            982  20   2.000e-07   -4.000e-01    0.000e+00    0.000e+00    1.000e+03  ---------
NH2+          e-                          N             H             H                                            983  20   1.980e-07   -4.000e-01    0.000e+00    0.000e+00   -3.100e+02  ---------
NH2+          e-                          N             H             H                                            984  20   2.010e-07   -9.000e-01    0.000e+00    3.100e+02   -1.240e+03  ---------
NH2+          e-                          N             H             H                                            985  20   1.740e-07   -8.000e-01    0.000e+00    1.240e+03    1.240e+04  ---------
NH2+          e-                          NH            H                                                          986  20   1.020e-07   -4.000e-01    0.000e+00    0.000e+00   -3.100e+02  ---------
NH2+          e-                          NH            H                                                          987  20   1.040e-07   -9.000e-01    0.000e+00    3.100e+02   -1.240e+03  ---------
NH2+          e-                          NH            H                                                          988  20   9.020e-08   -8.000e-01    0.000e+00    1.240e+03    1.240e+04  ---------
CH4+          e-                          CH3           H                                                          989  20   1.750e-07   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
CH4+          e-                          CH2           H             H                                            990  20   1.750e-07   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
OH+           e-                          O             H                                                          991  20   3.750e-08   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
NH3+          e-                          NH            H             H                                            992  20   1.550e-07   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
NH3+          e-                          NH2           H                                                          993  20   1.550e-07   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
CH5+          e-                          CH3           H2                                                         994  20   1.400e-08   -5.200e-01    0.000e+00    0.000e+00    3.000e+02  ---------
CH5+          e-                          CH4           H                                                          995  20   1.400e-08   -5.200e-01    0.000e+00    0.000e+00    3.000e+02  ---------
CH5+          e-                          CH3           H             H                                            996  20   1.960e-07   -5.200e-01    0.000e+00    0.000e+00    3.000e+02  ---------
CH5+          e-                          CH2           H2            H                                            997  20   4.760e-08   -5.200e-01    0.000e+00    0.000e+00    3.000e+02  ---------
CH5+          e-                          CH            H2            H2                                           998  20   8.400e-09   -5.200e-01    0.000e+00    0.000e+00    3.000e+02  ---------
H2O+          e-                          O             H             H                                            999  20   3.050e-07   -5.000e-01    0.000e+00    0.000e+00    1.000e+03  ---------
H2O+          e-                          O             H2                                                        1000  20   3.900e-08   -5.000e-01    0.000e+00    0.000e+00    1.000e+03  ---------
H2O+          e-                          OH            H                                                         1001  20   8.600e-08   -5.000e-01    0.000e+00    0.000e+00    1.000e+03  ---------
H3O+          e-                          O             H2            H                                           1002  20   5.600e-09   -5.000e-01    0.000e+00    0.000e+00    1.000e+03  ---------
H3O+          e-                          OH            H             H                                           1003  20   2.580e-07   -5.000e-01    0.000e+00    0.000e+00    1.000e+03  ---------
H3O+          e-                          OH            H2                                                        1004  20   6.020e-08   -5.000e-01    0.000e+00    0.000e+00    1.000e+03  ---------
H3O+          e-                          H2O           H                                                         1005  20   1.080e-07   -5.000e-01    0.000e+00    0.000e+00    1.000e+03  ---------
CN+           e-                          N             C                                                         1006  20   1.800e-07   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
HCN+          e-                          CN            H                                                         1007  20   2.000e-07   -5.000e-01    0.000e+00    0.000e+00    3.000e+02  ---------
CO+           e-                          O             C                                                         1008  20   2.000e-07   -4.800e-01    0.000e+00    0.000e+00    4.100e+04  ---------
HCNH+         e-                          CN            H             H                                           1009  20   9.300e-08   -6.500e-01    0.000e+00    0.000e+00    3.000e+02  ---------
